IMDB_ID,Series,Keywords_Synopsis,Keywords_Plot,Synopsis,Genre,Plot,Closest_Series
20913276,Ghoomer,Drama Sport hand batting cricketer village ball accident tic cricket lost unconventional style turned story,Drama Sport prodigy loses accident young batting hand unsympathetic failed hope trains techniques cricketer unconventional turn fate Ghoomer invent style bowling,"Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent. Once upon a time, in a small village on the outskirts of Mumbai, there lived a young girl named Anina. She was a cricket prodigy, the talk of the town, and the pride of her family. With her astonishing batting skills, Anina had dreams of one day representing India on the international stage. But fate had a different plan for her.

One sunny afternoon, while playing near the local river, a tragic accident occurred. Anina, in an attempt to retrieve a ball that had fallen into the fast-flowing water, lost her balance and slipped. Before anyone could react, her right hand was trapped in the sharp rocks, and she screamed in pain. The accident left her hand severely injured, and the doctors had no choice but to amputate it.

Devastated by the loss of her hand and, seemingly, her dreams, Anina fell into a deep depression. She withdrew from the world of cricket, believing that she would never be able to bat again. The villagers, who had once cheered for her, now whispered about her downfall and the unfortunate turn of events.

But one man, Amar, a failed cricketer himself who had once aspired to make it big in the sport, refused to give up on Anina. He had a reputation for being stubborn and unsympathetic, but he saw something in Anina that no one else did – her unyielding spirit.

Amar decided to visit Anina, offering her a glimmer of hope. He shared his own story of failure and heartbreak, making her understand that life sometimes takes unexpected turns. He said, ""You may have lost your hand, but you haven't lost your heart, your passion, or your skill. We just need to adapt.""

With Amar's encouragement, Anina began to train again. They experimented with unconventional techniques, using her left hand for balance and a specially designed prosthetic glove on her right arm for support. Her determination was unwavering, and her frustration turned into a burning desire to prove herself.

As they worked tirelessly day in and day out, Amar introduced Anina to a new style of bowling they called ""Ghoomer."" It involved spinning the ball in such a way that it moved unpredictably in the air and was challenging for the batter to predict. Amar believed that if they could perfect this unique technique, it could give Anina the edge she needed to return to the game at a competitive level.

The months turned into years, and Anina's story became an inspiration for many in the village. Her family, once worried about her future, now watched her with pride. As the days went by, Anina's proficiency in Ghoomer grew, and her left-handed batting skills evolved to counter any challenge. Her ability to read the bowler's intentions, adapt to the ever-changing Ghoomer, and play with her newfound determination made her an unstoppable force on the pitch.

The day of her comeback finally arrived when a local cricket tournament took place in their village. Anina, now with the entire village cheering her on, strode onto the field with Amar by her side. The crowd watched in awe as she faced a renowned bowler, who had underestimated her due to her disability.

The first ball he bowled was a Ghoomer, and it curved in the air with unpredictable spin. Anina, with her left-handed stance, confidently leaned into the ball and sent it sailing over the boundary for a six. The crowd erupted in jubilation, and Amar couldn't hide his pride.

Anina continued to excel in the tournament, her unique batting style confounding even the most skilled bowlers. She earned a reputation not only as a survivor but as an exceptional cricketer who had turned adversity into an advantage.

Her journey from tragedy to triumph became the stuff of legends in the cricketing world. Anina was invited to train and play for various domestic teams, and eventually, she made it to the national team, becoming the first one-handed cricketer to represent India. Her story served as an inspiration to countless individuals facing adversity, proving that with determination, unconventional thinking, and the support of a dedicated mentor, even the darkest of days can lead to the brightest of achievements.","['Drama', 'Sport']","Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.","Kaun Pravin Tambe?,Shabaash Mithu,1921,Nazar Andaaz,Great Grand Masti,Panga"
13306898,Crazy Uncles,Comedy wife uncles crazy act wives movie introducing men played shown Hema friends life,Comedy middle aged rich trap uncles unsatified wives decides enjoy life ends big,"The first act of the movie goes into introducing the three men and their wives. Raju is a real estate broker dealing in litigated properties. His wife is played by Hema, who is shown to be too involved in others' problems. Reddy is a gold merchant who is also a manipulative businessman. His wife is played by Gayatri Bhargavi, who is too much into spiritual thinking . Rao is an old-fashioned financier whose wife has been living separately. Due to different reasons, R, R, and R  have been sex-starved.Three friends Reddy , Raju , and Rao  experience troubles in their marriage life. These three friends who are called uncles turn crazy and try to get that pleasure from outside and look for ways to get it. Finally, they try to woo famous singer Sweety .Sweetie's personal secretary  arranges a fling for them. Very soon, the three males receive a shock of their life. 
All the three try to impress Sweety and spend one night with her to get pleasure without the knowledge of each other. Where their attempts to woo Sweety lead to and whether Sweety spends one night with any of these crazy uncles from the rest of the Crazy Uncles plot.",['Comedy'],"Three middle aged, rich uncles who are unsatified with wives decides to enjoy their life without them and ends up getting in a big trap","Pagalpanti,Tadka,Housefull 2,Grand Masti,Housefull 3,Kapoor &amp; Sons"
10811166,The Kashmir Files,Drama militants son events family Minister friend essor militant Home violence,Drama suffering pain community leads student truth heart-wrenching tale captures struggle young college set quest uncover,"The Kashmir Files"" is an Indian film that portrays the harrowing events that occurred in the late 1980s and early 1990s in Kashmir. It focuses on the forced exodus of Kashmiri Hindu Pandits from the Kashmir Valley due to the insurgency and militant violence. The story unfolds as follows:

In 1989-90, Islamic militants violently storm and expel the Kashmiri Hindu Pandits from their homes in the Kashmir Valley, using the slogans ""convert , leave, or die."" Pushkar Nath Pandit, a teacher, is deeply concerned for the safety of his son Karan, accused of being an Indian spy by the militants. Pushkar seeks the help of his friend Brahma Dutt, a civil servant, to protect Karan. Brahma travels with Pushkar to Kashmir and witnesses the brutality and violence against the Kashmiri Pandits. He brings the matter to the Chief Minister of Jammu and Kashmir , but is suspended for his efforts.

Militant commander Farooq Malik Bitta, a former student of Pushkar, invades Pushkar Nath's house. Karan hides but is eventually found and shot by Bitta. In a horrifying turn of events, Bitta forces Karan's widow, Sharda, to consume rice soaked in Karan's blood as a condition for sparing their lives. After Bitta and his gang depart, Pushkar pleads with his friend Dr. Mahesh Kumar to bring an ambulance to save Karan, but the hospital is taken over by militants who refuse treatment to non-Muslims, leading to Karan's death.

To ensure their safety, Pushkar and his family are taken in by their journalist friend Vishnu Ram, who leads them to Kaul, a Hindu poet with good relations with Muslims. However, Kaul and his son are falsely taken away by militants under the guise of protection. The remaining Pandits leave, only to discover Kaul and his son hanged from trees.

The Kashmiri Pandit refugees from the valley settle in Jammu, living in difficult conditions on meager rations. Brahma is appointed as an advisor to the new Governor of J&K. Pushkar demands the removal of Article 370 and the return of Kashmiri Pandits during the Home Minister's visit to Jammu camps.

In Nadimarg, Sharda is given a government job by Brahma, and the family relocates there. Tragically, militants, including Bitta, disguise themselves as Indian Army soldiers and round up the Pandits. Sharda resists, and in a horrifying act, she is brutally murdered. Her son Shiva and the remaining Pandits are shot and buried in a mass grave. Pushkar is spared to bear witness to the horrific events.

In the present day, Sharda's younger son Krishna, who was raised by Pushkar, believes his parents died in an accident. While studying at ANU, Krishna is influenced by Professor Radhika Menon, who supports Kashmiri separatism. Pushkar's friends Brahma, Vishnu, Mahesh, and Police Officer Hari Narain recall the events in Kashmir as a ""genocide.""

Krishna enters the student elections at ANU and, influenced by Professor Menon, blames the Government of India for the Kashmir issue, angering Pushkar. After Pushkar's death, Krishna fulfills his last wish by scattering his ashes in their ancestral home in Kashmir. Professor Menon suggests that Krishna record footage in Kashmir to expose the government's alleged atrocities. During this visit, Krishna confronts Bitta, who claims to be a non-violent leader, and blames the Indian Army for the deaths of Krishna's family members. When Krishna questions Brahma, he provides newspaper cuttings collected by Pushkar, showing that militants, disguised as Indian Army soldiers, were responsible for these atrocities.

Krishna returns to Delhi and delivers a powerful speech during the university presidential elections, sharing the history of Kashmir and the plight of his family and other Kashmiri Hindu victims, which initially shocks and outrages some, but eventually resonates with many students in the audience.",['Drama'],"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","Shikara,Hindutva,Halahal,Goliyon Ki Rasleela Ram-Leela,Ram Setu,Shershaah"
9263550,Rocketry: The Nambi Effect,Biography Drama engine returns colleagues make family engines Hindi Suriya MSE team deal find,Biography Drama scientist Based life framed spy arrested free continues fight justice officials falsely implicated,"During the present time in a televised interview with actor Shah Rukh Khan /Suriya , Nambi walks through the events leading to his rise as an eminent engineer to alleged espionage charges, and physical and mental cruelty against him.Nambi starts with his experiences at the Thumba Equatorial Rocket Launching Station, where he saves A. P. J. Abdul Kalam, one of his team members from a major injury during an experiment. In 1969, he is accepted into Princeton University in the US.Nambi successfully completes his MSE program in chemical rocket propulsion under professor Luigi Crocco who recommends him for the NASA fellowship. However, after a brief stint at NASA with Barry Amaldev, he is offered a generous paycheck and other allowances. He rejects it and returns to India so that he may make use of his talents at ISRO. Subsequently, he also manages to get 400 million pounds of equipment from Scotland for free. However, after the suspicious death of Vikram Sarabhai, he did not have adequate support from ISRO or funds from the Indian government to continue his research.At this point, Nambi strikes a deal with the French who need skilled scientists to help them build their own liquid fuel engine. He then moves to France with his colleagues, hoping to learn from France's advanced technology so that they may recreate it back in India. Unbeknownst to the French, Nambi and his 52 colleagues have learnt French before their journey but pretend to not understand them. After being kept out of their major discussions, Nambi's team tries to find a way to gain access to these meetings and test data. It is then that they discover that the French engine is faulty. Nambi uses this opportunity to gain access to the required data in exchange for fixing the engine. The team then returns to India and start working on building their own engine on liquid fuels. However, due to a lack of resources, it takes 8 more years to complete. They test the engine at the same testing facility in France - it goes above the 135-pressure mark and goes all the way to 180. Successful in his plans, Nambi returns to India after naming the engine VIKAS after Vikram Sarabhai, his mentor.Nambi's focus is now on cryogenic engines which he believes will make India competent to participate in the world satellite market. Knowing ISRO's limitations in terms of time and resources, Nambi decides to purchase these engines from some other country. He strikes a deal with Russia  after informing them that he knows about their cryogenic missiles, told to him by his Russian friend in Princeton. He requests 4 of them to be imported to India. After the Russians agree, the Americans find out about this deal and try their best to break it. While USSR is on the brink of collapse, Nambi and his colleagues manage to expedite the transfer process and sneak out a couple of engines from under the Americans' noses with the help of the Russians.Back in India, Nambi is arrested out of the blue while news of his treason spreads like wildfire. He is taken to a guest house in Trivandrum where he is beaten and tortured in an attempt to make him confess to his alleged crimes. He also recognizes that the officials are trying to make him repeat their sentences and that there is a recording device in the room to capture it. However, Nambi holds his ground and denies all charges. It was alleged that Nambi met Mariam, a Maldivian woman, in a hotel in Chennai and after being caught in her trap, he was forced to sell India's rocketry secrets to Pakistan. After being hospitalized due to his injuries, Nambi is met by CBI official P. M. Nair, who thoroughly investigates the matter. Nair brings Mariam and her friend, along with a few others into the room. Mariam and her friend reveal that the Kerala police officer in charge of the investigation, Gopal, tortured and threatened them and made them falsely incriminate Nambi, whom they have never met before. They also apologize to Nambi for ruining his reputation and causing pain to him and his family. Nair also figures out that all the accused in this case were members of ISRO's cryogenic wing, and concludes that it was a huge ploy by some powerful parties to hinder India's progress in the cryogenic sector.Months later, Nambi receives bail and returns to his house to find his family members traumatized by the way they were treated by others. Nambi's wife Meena is in need of psychiatric help and the rest of his family are still shunned by society. Hence, Nambi decides that he has to clear his name so that his family may lead normal lives in the future. Years later, Nambi is proven innocent by the Supreme Court and returns to ISRO, helping his colleagues with the Mangalyaan mission. Nambi is later awarded the Padma Bhushan for his contributions to Indian Space Research.After hearing his story, Shah Rukh Khan /Suriya  feels so bad for Nambi, that he apologizes to Nambi on the behalf of the whole nation, as the interview ends. The real Nambi is shown receiving the Padma Bhushan award from the president, Ram Nath Kovind.","['Biography', 'Drama']","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","Mission Majnu,Talaash,Mission Mangal,Agent Vinod,Parmanu: The Story of Pokhran,Tiger Zinda Hai"
15193162,The Conversion,Drama marriage Pradeep Shukla Ravi Bhatia problems conversions religious love party friends decides decide college boys affair,Drama conversion Movie religious explores sensitive topic captivating drama depicting girl dilemma inter-faith marriage results,"The Conversion  is about religious conversions.

Sakshi , Babloo  and Dev  are college friends. Both the boys love Sakshi. On her part, Sakshi decides to marry Babloo, but her father, Mishra , who is a pandit by profession, does not approve of the affair. Then, Sakshi and Babloo decide on a court marriage but on the day of the marriage, Sakshi is shocked to know that Babloo is a Muslim. In spite of being a Hindu, she gets married to Babloo and even changes her name to Sabiya after the marriage is solemnised. When Mishra learns of Sakshi’s wedding to a Muslim, he disowns her. Marital problems as also problems with her in-laws force Sakshi and Babloo to divorce. Babloo now has a change of heart but he has already divorced Sakshi. The local maulvi has a way out. But that solution does not work. Sakshi contemplates suicide after more problems befall her. However, Dev saves her life. Dev’s father resolves the tension between Sakshi and her dad. Also, Sakshi joins the party of Dev’s father. The party raises its voice against love jihad. Circumstances bring Sakshi and Babloo face-to-face one day. ",['Drama'],"A Movie that explores the sensitive topic of religious conversion, this movie is a captivating drama depicting girl's dilemma of what happens in an inter-faith marriage that results in religious conversion.","Ek Ladki Ko Dekha Toh Aisa Laga,Chhorii,Babli Bouncer,Ajeeb Daastaans,Jai Mummy Di,Shuddh Desi Romance"
15548886,Trahimam,Drama Thriller Member film Gods Trahimam killed quarry Dhaulpur persons rape station local legislator Brijesh dens,Drama Thriller village labourer employers policemen gangrape local female steps justice culprits directly related scot free brave bring rape,"In Hindu mythology, when human’s faced insurmountable tragedies, they invoked the Gods by crying out, “Trahimam” . In this film, only one couple is shown undergoing untold misery, at the hands of the local legislator and the mafia.A local legislator , Veer Pratap Rana, in Dholpur , Rajasthan, a state in the north-west of India) is corrupt to the core. His election expenses are funded by three mafia dons, Brijesh Singh, Anand Pal, and another, who run illicit liquor dens and stone quarries. In return, he offers them full freedom to conduct their businesses without fear of the law. When their demands become too much, he decides to stand for the position of Member of Parliament  on his own fire-power, without any funding from these three. Having made that decision, he first over-runs their liquor dens and gets all the personnel killed. When the bosses come to him to find out why this happened, he gets two of them killed in his home, in a way that it appears a mutual quarrel that led to firing of bullets on both sides. The third he keeps as a witness, to toe his line.

On another level, a labourer in the quarry gets married to a very beautiful and luscious girl, Champa. He then asks his boss to give a her a job too, in the quarry, so that he can meet the daily expenses, which they agree to. But the owners of the quarry have a roving eye for her. At the first available opportunity, one of them tries to rape her, but she escapes by biting his hand. Later, however, several persons overpower and rape her. When her husband goes to the police station to file a complaint, she is taken into custody, on the pretext of a medical examination, and several policemen rape her. Even her employer, who happens to be in the station, gets a second chance, which he is not willing to let go. In the police station, there is a dichotomy: on the one side is honest, pot-bellied, cop Satya Prakash and on the other side is corrupt to the core, lean-mean, Yadav. The MLA gets Satya Prakash killed, in broad daylight and threatens the witnesses with a similar fate lest they open theor mouths. But there is a tiny ray of hope. Officer Arya Thakur, known for her upright stance and anti-criminal persona, is transferred to Dholpur. Will this be the Trahimam of the victims, heard by the Gods?","['Drama', 'Thriller']","Champa is a labourer in Dholpur village, where her employers and policemen gangrape her. As the culprits are directly related to the local MLA, they go scot free until a brave female SP steps in to bring the rape survivor justice.","Satyameva Jayate 2,Article 15,Rakhta Charitra,Jai Gangaajal,Raman Raghav 2.0,Kathal: A Jackfruit Mystery"
11026788,Ye Mard Bechara,Comedy father family carrying tradition shoulders love story revolves life bad Shivalika friends responsibilities career technology load live progressive,Comedy man defines day reflects societal norms men face stereotypes attached manhood refreshing defining,"The story revolves around Shivam Sharma who is carrying the tradition of his father’s family on his shoulders. Apart from carrying the load of family responsibilities, Shivam is also trying to live his life in 21st Century, where career, friends, technology and progressive thinking is the need. Shivam’s father has his own idea about being a man; he forces his son to keep a moustache because it’s a family tradition. But Shivam’s life takes a turn for the worse with his father’s pressure. He is rejected by the girls and eventually his father tries to find the right girl for him. Shivam is in love with Shivalika, but everyone’s bad ideas about impressing her aren’t helping him. He finds himself trapped between tradition and love, but he chooses love but things go bad for him.",['Comedy'],What defines a man? What are the societal norms that men face every day? Ye Mard Bechara reflects the stereotypes attached to manhood and gives a refreshing take on defining a man.,"Ardh,Kaali Khuhi,Aiyyaa,Chatrapathi,Chhappad Phaad Ke,Gehraiyaan"
10280296,Sardar Udham,Biography Crime Drama History died Gen. makes time finds massacre shown immersed ashes Inspector Gov,Biography Crime Drama History Punjabi revolutionary massacre detailing spent planning assassination man biopic responsible,"Apr 13th, 1919, Jallianwala Bagh in Amritsar witnessed an horrific massacre. Brig Gen. Reginald Dyer  ordered his men to open fire on 20,000 peaceful demonstrators. Thousands died. Michael O'Dwyer  was the Lt Gov of Punjab and the man in charge.The film goes back and forth from the present, where Udham  is in London, to his past when he was part of the Hindustan Socialist Republican Association  . In 1927 Sher Singh was sourcing weapons for the HSRA to conduct attacks against British colonists) and explores his reasons for assassinating Indian Civil Service officer Michael O'Dwyer. Sher Singh works with his idol Bhagat Singh , until he was executed in 1929 for throwing bombs at the central assembly hall in Delhi. In aftermath of the bombing the entire HSRA was eliminated and Sher Singh arrested and jailed.Udham Singh  is released from prison in Punjab in British India. He is constantly being watched by the colonial authorities. He leaves India in 1933 and goes to USSR during what appears to be winter. He crosses the border via Afghanistan into Russia and gets lost in the winter wilderness. He is rescued by a sled driver, and recovers under the care of an Soviet family in a remote village. From there he makes his way to London by ship in 1934. Even though the British authorities are on the lookout for him, he successfully evades them and lives in London, making a living as a salesman and then a welder. HSRA London chapter includes Koppikar , Surat Ali , S. S. Johal  & Nihal Singh .
It is revealed that Dyer died in 1927. Udham Singh visits his grave in London. 6 yrs pass and Britain is in the middle of WW II, fighting the Nazis.He is shown in front of Caxton Hall , making his way inside where O'Dwyer is giving a speech on his time as Lt. Governor of Punjab  and how he had suppressed a major uprising . Udham makes his way to O'Dwyer and shoots him, and is arrested. The Scotland Yard determine that Udham Singh worked in a cotton mill in Punjab in 1919. He is an orphan as both parents died when he was 6. He has a brother by name of Udhe Singh. In last 6 yrs, he changed apartments every 6 months and did many different jobs . Udham is brutally tortured to reveal his associates as the British fear that other high level targets might also be attacked.Detective Inspector Swain  is in charge of the investigation. He finds out that Udham used to meet a British communist Eileen Palmer , very regularly. Eileen knew Udham was planning something but refused to help. Eventually Udham got funding from Koppikar to buy guns from IRA to send to India, but this consignment was intercepted in Calcutta by the British. Udham travels to Russia to ask for Soviet help to arm Indians against the British imperialists. He re-enters Britain via Spain. Upon his return, Udham finds Dwyer and starts keeping track of his movements and attends his lectures on his time in Punjab. Udham even takes up a job as Dwyer's butler and learns that Dwyer has no remorse for his actions and thinks of himself as a savior of the British Empire.
AS Britain enters WW II against Germany, Udham decides this is the right time to strike as Brits are distracted with Hitler. Koppikar and others want him to wait till after the war, but Udham decides to go ahead alone.Winston Churchill  was against Dyer's actions in 1919 and is yet under pressure from King George VI  to put Udham to trial and bring him to speedy justice. The British empire is keen to be seen as strong and decisive. They falsify signatures of witnesses on fabricated statements and kill the witnesses to eliminate any back talk.
Udham Singh is appointed a lawyer John Hutchinson  who slowly gets Udham to tell his backstory. Udham is brought to court and in spite of a good lawyer, the judges sentence him to death. Upon hearing this,
Udham makes an impromptu speech where he denounces British rule in India and reaffirms his support for the Indian freedom movement
Udham protests the conditions of his detention and goes on a 42-day fast, but is force-fed to break it. He slowly opens up to the investigating inspector and tells him the reasons for the assassination. Udham Singh also got the title of Shaheed-E-Azam.In 1919, Udham is a young adult working in a textile mill near Amritsar, with a girlfriend Reshma  who is mute. On 13th April, 1919, General Dyer on order from O'Dwyer opens fire on a crowd of 20,000 peaceful protesters inside Jallianwala Bagh. Udham is sleeping unaware of the massacre, until his friend wakes him up, mortally wounded and bleeding profusely. He hears about the massacre and rushes to the grounds to help. It is shown that along with a few other volunteers, Udham finds survivors and gets them to a makeshift hospital which is overwhelmed itself.He is executed and shown to have a photo of Bhagat Singh, taken when Bhagat Singh was in jail during his final days.
After the Independence of India, in 1974, Udham Singh's ashes are brought to India upon the request of Punjab Chief Minister Giani Zail Singh and were immersed in Sutlej river. His ashes were immersed where his idol Bhagat Singh's ashes were immersed. There is a statue made outside Jallainwala Bagh to honor Udham Singh and his courageous work.In the final scene, Gen. Dyer and O'Dwyer give their own accounts to the Hunter Commission. Dyer claims that Sec 144 and martial law were already in place . Dwyer wanted to teach the Indians a lesson. 26 Lakh Indians died for British in WW 1 and 2. 40 Lakhs Indians died in the Bengal famine, due to Churchill's wartime policies","['Biography', 'Crime', 'Drama', 'History']","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.","Saheb Biwi Aur Gangster 3,Laal Kaptaan,Paan Singh Tomar,Romeo Akbar Walter,Gangs of Wasseypur,Raat Akeli Hai"
8110330,Dil Bechara,Comedy Drama Romance film lly love king ncer song eye blind convince invites trip informs word,Comedy Drama Romance youngsters girl cancer boy meets group emotional journey young suffering support,"Twenty-one year-old Kizie Basu is fighting thyroid cancer when she meets twenty-three year-old Immanuel ""Manny"" Rajkumar Jr., who has previously suffered from osteosarcoma and is in remission. Manny and his friend Jagdish ""JP"" Pandey, who is suffering from glaucoma and is blind in one eye, are making a film together in which Manny plays the male lead, inspired by well-known actor Rajinikanth. Manny invites Kizie to be the female lead. The two bond over his love for Rajnikanth's films and her love for Hindi music, specifically an incomplete song by retired songwriter Abhimanyu Veer. Kizie and Manny gradually fall in love as they shoot scenes for Manny and JP's film. They decide to make 'Seri', the Tamil word for 'Okay', their secret word that will help them remember that everything will be okay in life and that it is important to stay positive. After an operation, JP loses sight in his second eye, making him go blind.

One day, Manny informs Kizie that he has managed to track down Abhimanyu and get in touch with him. Kizie e-mails Abhimanyu, who replies that he'll answer all her questions if she's able to visit him in Paris, where he lives. Kizie and Manny try to convince Kizie's parents to allow them to take the trip. They manage to convince them, on the condition that Kizie's mother joins them. As they are making arrangements for the trip, Kizie's cancer worsens and she is suddenly hospitalised.

After her recovery, she is weakened and initially distances herself from Manny, but they eventually reconnect. They go to Paris to visit Abhimanyu, who turns out to have no conclusive answers and no reason for not finishing the song, disappointing Kizie. Soon after, Manny informs Kizie that his cancer has returned and that he is now terminal.

As Manny's health deteriorates, Kizie convinces him and JP to finish the film. Manny then invites JP and Kizie to his mock funeral, where they deliver eulogies that they have both prepared. Manny dies a couple of days later, leaving a letter for Kizie, explaining that he had finished Abhimanyu's song for her and had even convinced Abhimanyu to help him with the music despite considering him a terrible person.

JP's finished film premieres in an open-air theatre to a heartwarming response from the crowd, which consists of Kizie and Manny's friends and family. In the final scene of his film, Manny breaks the fourth wall and directly speaks to Kizie, telling her to live life to the fullest, to which she replies ""Seri"".
","['Comedy', 'Drama', 'Romance']","The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.","Always Kabhi Kabhi,Action Replayy,Yeh Saali Aashiqui,Kanpuriye,Rock On 2,Teri Meri Kahaani"
27862531,Ajmer 92,Crime Drama History girls rape gang true blackmailing lives based events harrowing incident occurred film victims journalist whe school college-age,Crime Drama History true events gang rape blackmailing hundred school college-age girls,"“Ajmer 92” is based on the true events of a harrowing gang rape and blackmailing incident that occurred in Ajmer, Rajasthan, in the year 1992. The film sheds light on the lives of 250 school and college-age girls who became victims of a shocking sex scandal that shook the entire nation.: The narrative of “Ajmer 92” takes place between 1987 and 1992 in Ajmer, Rajasthan. The story revolves around influential individuals who perpetrate unimaginable atrocities against 250 college girls. By distributing explicit photos of the girls, they manipulate and subject them to gang rape, turning their lives into a living nightmare. Amidst this darkness, a brave journalist takes charge of investigating the scandal and unravels the web of corruption and complicity, involving even the police and politicians. The film explores whether justice can be served for the victims and whether the journalist can rescue the girls from the clutches of their tormentors.
","['Crime', 'Drama', 'History']",The true events of the gang rape and blackmailing of over one hundred school and college-age girls in Ajmer.,"Trahimam,Guilty,Special Chabbis,Cuttputlli,Ungli,Love Hostel"
